Fecha;Año;Ciudad;Nombre;Apellido;Género;Producto
2020-03-01;2020;Copacabana;Amílcar;Bernal;Masculino;Fuerte
2020-03-01;2020;Medellin;Aitana;Beltrán;Femenino;Sánduche
2020-03-01;2020;Sabaneta;Yésica;Alcaraz;Femenino;Completo
2020-03-01;2020;Bello;María Pilar;Quevedo;Femenino;Tradicional
2020-03-01;2020;Envigado;Victorino;Arjona;Masculino;Completo
2020-03-01;2020;Envigado;Calixta;Menendez;Femenino;Kit de emergencia
2020-03-01;2020;Medellin;Chucho;Goicoechea;Masculino;Virtuosa
2020-03-01;2020;Medellin;Bautista;Heredia;Masculino;Tradicional
2020-03-01;2020;San Antonio de Prado;Ester;Peñalver;Femenino;Choco box
2020-03-01;2020;Medellin;Irene;Casares;Femenino;Completo
2020-03-01;2020;La Estrella;Cosme;Romero;Masculino;Cupcakes
2020-03-01;2020;Bello;Eloísa;Alemany;Femenino;Liviano
2020-03-01;2020;La Estrella;Trinidad;Gimeno;Femenino;Sánduche
2020-03-01;2020;Bello;Borja;Rius;Masculino;Bizcopizza
2020-03-01;2020;Medellin;Sandra;Expósito;Femenino;Fuerte
2020-03-01;2020;Medellin;Jessica;Cervera;Femenino;Virtuosa
2020-03-01;2020;Sabaneta;Íñigo;Enríquez;Masculino;Bizcopizza
2020-03-01;2020;Envigado;Chema;Tamayo;Masculino;Completo
2020-03-01;2020;Envigado;María Ángeles;Pinto;Femenino;Mini gomas
2020-03-01;2020;Medellin;Belen;Quero;Femenino;Kit de emergencia
2020-03-01;2020;Medellin;África;Azcona;Femenino;Virtuosa
2020-03-01;2020;La Estrella;Alonso;Espada;Masculino;Waffle
2020-03-01;2020;Medellin;Alondra;Chico;Femenino;Variado
2020-03-01;2020;Envigado;Cleto;Leal;Masculino;Sánduche
2020-03-01;2020;Itagui;Claudia;Alegria;Femenino;Liviano
2020-03-01;2020;Medellin;Armida;Delgado;Femenino;Completo
2020-03-01;2020;San Antonio de Prado;Alba;Plana;Femenino;Virtuosa
2020-03-01;2020;Caldas;Loida;Reina;Femenino;Bandeja fresas
2020-03-01;2020;Bello;Eligia;Reguera;Femenino;Waffle
2020-03-01;2020;Envigado;Lucila;Rovira;Femenino;Fuerte
2020-03-01;2020;Medellin;Yéssica;Mayoral;Femenino;Cerv box
2020-03-01;2020;San Antonio de Prado;Felisa;Narváez;Femenino;Super Box
2020-03-01;2020;Medellin;Tecla;Sierra;Femenino;Sánduche
2020-03-01;2020;Bello;Susanita;Noriega;Femenino;Variado
2020-03-01;2020;Medellin;Goyo;Prat;Masculino;Completo
2020-03-01;2020;Sabaneta;Emilia;Montes;Femenino;Tradicional
2020-03-01;2020;La Estrella;María;Bonilla;Masculino;Choco box
2020-03-01;2020;La Estrella;Yaiza;Villalobos;Femenino;Premium
2020-03-01;2020;Medellin;Sebastián;Goñi;Masculino;Cerv box
2020-03-01;2020;Medellin;Graciela;Aguilera;Femenino;Completo
2020-03-31;2020;Bello;Estela;Mena;Femenino;Completo
2020-03-31;2020;Bello;Manuela;Amorós;Femenino;Completo
2020-03-31;2020;Medellin;Luis Miguel;Hidalgo;Masculino;Sánduche
2020-03-31;2020;Envigado;Joel;Carnero;Masculino;Bizcopizza
2020-03-31;2020;Medellin;Dora;Pozo;Femenino;Kit de emergencia
2020-03-31;2020;Medellin;Lidia;Beltran;Femenino;Mini gomas
2020-03-31;2020;Medellin;Octavio;Pozuelo;Masculino;Completo
2020-03-31;2020;Medellin;Jose Antonio;Quero;Masculino;Tradicional
2020-03-31;2020;La Estrella;Catalina;Bernad;Femenino;Waffle
2020-03-31;2020;Itagui;Celia;Fabregat;Femenino;Bandeja frutas
2020-03-31;2020;La Estrella;Nicodemo;Herrera;Masculino;Bizcopizza
2020-03-31;2020;Envigado;Silvia;Escamilla;Femenino;Sánduche
2020-03-31;2020;Itagui;Griselda;Cabrero;Femenino;Sánduche
2020-03-31;2020;La Estrella;Valero;Gallego;Masculino;Virtuosa
2020-03-31;2020;Bello;Roberto;Conde;Masculino;Virtuosa
2020-03-31;2020;Sabaneta;Carlito;Bonilla;Masculino;Bandeja fresas
2020-03-31;2020;Medellin;Emiliana;Aguilera;Femenino;Sánduche
2020-03-31;2020;Sabaneta;Lorenzo;Folch;Masculino;Choco box
2020-03-31;2020;Sabaneta;Florina;Mercader;Femenino;Completo
2020-03-31;2020;Envigado;Regina;Prats;Femenino;Waffle
2020-03-31;2020;Itagui;Berta;Tejada;Femenino;Mecatera
2020-03-31;2020;Envigado;Marta;Roura;Femenino;Waffle
2020-03-31;2020;San Antonio de Prado;Mayte;Llorente;Femenino;Sánduche
2020-03-31;2020;Itagui;Cruz;Peñas;Masculino;Sánduche
2020-03-31;2020;Medellin;Tito;Navarrete;Masculino;Variado
2020-03-31;2020;Sabaneta;Román;Reyes;Masculino;Premium
2020-03-31;2020;Medellin;Micaela;Camps;Femenino;Sánduche
2020-03-31;2020;Bello;Emelina;Mesa;Femenino;Completo
2020-03-31;2020;Medellin;Candelas;Piquer;Femenino;Waffle
2020-03-31;2020;Medellin;Marcos;Torre;Masculino;Liviano
2020-03-31;2020;San Antonio de Prado;Rogelio;Ramos;Masculino;Completo
2020-03-31;2020;Medellin;Viviana;Sánchez;Femenino;Bizcopizza
2020-03-31;2020;Sabaneta;Hortensia;Campo;Femenino;Premium
2020-03-31;2020;Bello;Calista;Gordillo;Femenino;Completo
2020-03-31;2020;Bello;Hortensia;Iriarte;Femenino;Completo
2020-03-31;2020;Medellin;Concha;Cuadrado;Femenino;Sánduche
2020-03-31;2020;Copacabana;María Teresa;Porras;Femenino;V gomas
2020-03-31;2020;Envigado;Carlos;Mariscal;Masculino;Sánduche
2020-03-31;2020;Medellin;Vicenta;Álvaro;Femenino;Waffle
2020-03-31;2020;Bello;Ximena;Serra;Femenino;Variado
2020-03-31;2020;Envigado;Gerardo;Lara;Masculino;Fuerte
2020-03-31;2020;Medellin;Leticia;Rocha;Femenino;Super Box
2020-03-31;2020;Medellin;Ofelia;Palomar;Femenino;Completo
2020-03-31;2020;San Antonio de Prado;Pascuala;Miralles;Femenino;Choco box
2020-03-31;2020;San Antonio de Prado;Balduino;Azorin;Masculino;Completo
2020-03-31;2020;Medellin;Gabriela;Baena;Femenino;Sánduche
2020-03-31;2020;Sabaneta;Felicidad;Gómez;Femenino;Sánduche
2020-03-31;2020;Sabaneta;Úrsula;Pino;Femenino;Bizcopizza
2020-03-31;2020;Medellin;Marina;Olivares;Femenino;Choco candy
2020-03-31;2020;San Antonio de Prado;Estefanía;Gallego;Femenino;Sánduche
2020-03-31;2020;San Antonio de Prado;Olimpia;Gaya;Femenino;Sánduche
2020-03-31;2020;Sabaneta;Dani;Jáuregui;Masculino;Tradicional
2020-03-31;2020;Medellin;Daniela;Juárez;Femenino;Choco box
2020-03-31;2020;Copacabana;Dulce;Gordillo;Femenino;Virtuosa
2020-03-31;2020;San Antonio de Prado;Carmelita;Solana;Femenino;Bizcopizza
2020-03-31;2020;Bello;Eutimio;Marti;Masculino;Variado
2020-03-31;2020;Medellin;Agustina;Miró;Femenino;Completo
2020-04-30;2020;Medellin;Graciela;Luz;Femenino;Completo
2020-04-30;2020;Medellin;Pastora;Valentín;Femenino;Liviano
2020-04-30;2020;Copacabana;Jessica;Muro;Femenino;Kit de emergencia
2020-04-30;2020;Copacabana;Jorge;Galán;Masculino;Variado
2020-04-30;2020;Sabaneta;Encarnacion;Roldan;Femenino;Sánduche
2020-04-30;2020;Medellin;Jenny;Serna;Femenino;Bizcopizza
2020-04-30;2020;Medellin;Joaquina;Bosch;Femenino;Bizcopizza
2020-04-30;2020;Medellin;Ximena;Téllez;Femenino;Variado
2020-04-30;2020;La Estrella;Lupe;Julián;Masculino;Sánduche
2020-04-30;2020;Copacabana;Zaida;Garzón;Femenino;Liviano
2020-04-30;2020;Itagui;Telmo;López;Masculino;Virtuosa
2020-04-30;2020;Copacabana;Jacobo;Martín;Masculino;Variado
2020-04-30;2020;Medellin;Cecilio;Ropero;Masculino;Tradicional
2020-04-30;2020;Copacabana;Aitana;Sales;Femenino;Tradicional
2020-04-30;2020;Sabaneta;Aníbal;Espinosa;Masculino;Sánduche
2020-04-30;2020;Sabaneta;Bibiana;Sarabia;Femenino;Bizcopizza
2020-04-30;2020;Medellin;Pía;Rivera;Femenino;Sánduche
2020-04-30;2020;Bello;Visitación;Murcia;Femenino;Completo
2020-04-30;2020;San Antonio de Prado;Tadeo;Alberto;Masculino;Variado
2020-04-30;2020;Bello;María;Borja;Femenino;Kit de emergencia
2020-04-30;2020;Medellin;María Fernanda;Morales;Femenino;Variado
2020-04-30;2020;Medellin;Osvaldo;Busquets;Masculino;Sánduche
2020-04-30;2020;Envigado;Estefanía;Escobar;Femenino;Premium
2020-04-30;2020;La Estrella;Crescencia;Huguet;Femenino;Sánduche
2020-04-30;2020;Medellin;Dorita;Calderón;Femenino;Variado
2020-04-30;2020;Medellin;Juanita;Lopez;Femenino;Variado
2020-04-30;2020;Medellin;Ramón;Franco;Masculino;Waffle
2020-04-30;2020;San Antonio de Prado;Pepe;Fabra;Masculino;Sánduche
2020-04-30;2020;La Estrella;Bienvenida;Bolaños;Femenino;Cupcakes
2020-04-30;2020;Bello;Mirta;Coello;Femenino;V gomas
2020-04-30;2020;Itagui;Gabriel;Agullo;Masculino;Waffle
2020-04-30;2020;Medellin;Diana;Valenciano;Femenino;Fuerte
2020-04-30;2020;Envigado;Cruz;Vila;Masculino;Liviano
2020-04-30;2020;Medellin;Sol;Pinedo;Femenino;Virtuosa
2020-04-30;2020;Bello;Josefa;Portero;Femenino;Completo
2020-04-30;2020;La Estrella;Santiago;Ibáñez;Masculino;Cerv box
2020-04-30;2020;Envigado;Ignacia;Guitart;Femenino;V fresas
2020-04-30;2020;Bello;Sandra;Sarmiento;Femenino;Choco box
2020-04-30;2020;Medellin;Carmina;Matas;Femenino;Bandeja fresas
2020-04-30;2020;Caldas;Josefa;Cañellas;Femenino;Virtuosa
2020-04-30;2020;Itagui;Lupita;Huerta;Femenino;Premium
2020-04-30;2020;Copacabana;Berto;Uribe;Masculino;Tradicional
2020-04-30;2020;Sabaneta;Dora;Gargallo;Femenino;Variado
2020-04-30;2020;Envigado;Reina;Marí;Femenino;Sánduche
2020-04-30;2020;Envigado;Jacinto;Calzada;Masculino;Variado
2020-04-30;2020;La Estrella;Guiomar;Granados;Femenino;Sánduche
2020-04-30;2020;La Estrella;Maura;Aguirre;Femenino;Premium
2020-04-30;2020;La Estrella;Guiomar;Alfonso;Femenino;Bizcopizza
2020-04-30;2020;San Antonio de Prado;Tania;Roca;Femenino;Sánduche
2020-04-30;2020;Copacabana;Maximino;Lucena;Masculino;Sánduche
2020-04-30;2020;Itagui;Dorotea;Arnal;Femenino;Sánduche
2020-04-30;2020;La Estrella;Montserrat;Peiró;Femenino;Mini gomas
2020-04-30;2020;Itagui;Rómulo;Vaquero;Masculino;Tradicional
2020-04-30;2020;Itagui;Telmo;Mir;Masculino;V fresas
2020-04-30;2020;Envigado;Natalia;Diaz;Femenino;Liviano
2020-04-30;2020;Itagui;Filomena;Cueto;Femenino;Variado
2020-04-30;2020;Sabaneta;Eligio;Yáñez;Masculino;Sánduche
2020-04-30;2020;La Estrella;Marisol;Mir;Femenino;V gomas
2020-04-30;2020;Bello;Jose Ignacio;Arteaga;Masculino;Bizcopizza
2020-04-30;2020;Sabaneta;Máxima;Carnero;Femenino;Fuerte
2020-04-30;2020;San Antonio de Prado;Natividad;Español;Femenino;Sánduche
2020-04-30;2020;Medellin;Leticia;Bustos;Femenino;Waffle
2020-04-30;2020;Envigado;Lorenzo;Llopis;Masculino;Sánduche
2020-04-30;2020;Medellin;Sofía;Lobato;Femenino;Variado
2020-04-30;2020;Bello;Berta;Alcalá;Femenino;Liviano
2020-04-30;2020;Medellin;Venceslás;Escribano;Masculino;Virtuosa
2020-04-30;2020;Medellin;Emilio;Navarrete;Masculino;Variado
2020-04-30;2020;Caldas;Rosaura;Anguita;Femenino;Sánduche
2020-04-30;2020;Bello;Candelas;Cazorla;Femenino;V fresas
2020-04-30;2020;Caldas;Cristian;Prat;Masculino;Liviano
2020-04-30;2020;San Antonio de Prado;Odalis;Cortina;Femenino;Bizcopizza
2020-04-30;2020;Envigado;Remedios;Serrano;Femenino;Variado
2020-04-30;2020;Sabaneta;Cayetana;Mariño;Femenino;Cupcakes
2020-04-30;2020;Bello;Pepita;Pineda;Femenino;Sánduche
2020-04-30;2020;Medellin;Susana;Aragón;Femenino;Variado
2020-04-30;2020;Medellin;Visitación;Reig;Femenino;Completo
2020-05-30;2020;Itagui;Candelas;Planas;Femenino;Sánduche
2020-05-30;2020;Caldas;Charo;Núñez;Femenino;Variado
2020-05-30;2020;Medellin;Javi;Bustamante;Masculino;Virtuosa
2020-05-30;2020;La Estrella;Diego;Egea;Masculino;Completo
2020-05-30;2020;Medellin;Angelita;Moliner;Femenino;Virtuosa
2020-05-30;2020;Caldas;Juan José;Adadia;Masculino;Variado
2020-05-30;2020;Medellin;Lucho;Vigil;Masculino;Completo
2020-05-30;2020;Medellin;Inés;Cadenas;Femenino;Premium
2020-05-30;2020;Itagui;Araceli;Vilaplana;Femenino;Completo
2020-05-30;2020;Bello;Javiera;Oliver;Femenino;Completo
2020-05-30;2020;Envigado;Liliana;Vall;Femenino;Variado
2020-05-30;2020;La Estrella;Amelia;Cadenas;Femenino;Variado
2020-05-30;2020;Envigado;Loreto;Chico;Femenino;Variado
2020-05-30;2020;Bello;Javiera;Cazorla;Femenino;Completo
2020-05-30;2020;Itagui;Bernardo;Palomar;Masculino;Tradicional
2020-05-30;2020;Envigado;Estela;Goicoechea;Femenino;Variado
2020-05-30;2020;Medellin;Encarnacion;Baró;Femenino;Sánduche
2020-05-30;2020;Medellin;Casemiro;Aguiló;Masculino;Fuerte
2020-05-30;2020;Medellin;Jacinto;Villa;Masculino;Sánduche
2020-05-30;2020;Medellin;Lupe;Robles;Femenino;Premium
2020-05-30;2020;Envigado;Calixto;Hierro;Masculino;Sánduche
2020-05-30;2020;Sabaneta;Esther;Alfaro;Femenino;Tradicional
2020-05-30;2020;San Antonio de Prado;Candelaria;Osuna;Femenino;Variado
2020-05-30;2020;Medellin;Íngrid;Gras;Femenino;Choco candy
2020-05-30;2020;Sabaneta;Jose Manuel;Montenegro;Masculino;Sánduche
2020-05-30;2020;Bello;Rosario;Prieto;Femenino;Choco box
2020-05-30;2020;Medellin;Anunciación;Alberto;Femenino;V fresas
2020-05-30;2020;Medellin;Aura;Ariza;Femenino;Variado
2020-05-30;2020;Bello;Trinidad;Amorós;Masculino;Premium
2020-05-30;2020;Caldas;Amelia;Roma;Femenino;Waffle
2020-05-30;2020;La Estrella;Alfredo;Roca;Masculino;Premium
2020-05-30;2020;Itagui;Joel;Mendoza;Masculino;Bizcopizza
2020-05-30;2020;La Estrella;Montserrat;Pacheco;Femenino;Variado
2020-05-30;2020;Medellin;Catalina;Posada;Femenino;Mini gomas
2020-05-30;2020;Bello;Ariel;Quesada;Femenino;Variado
2020-05-30;2020;Envigado;Esmeralda;Hidalgo;Femenino;Fuerte
2020-05-30;2020;Sabaneta;Dafne;García;Femenino;Bandeja fresas
2020-05-30;2020;Medellin;Saturnina;Cazorla;Femenino;Liviano
2020-05-30;2020;Bello;Íñigo;Mariscal;Masculino;Virtuosa
2020-05-30;2020;Bello;Rosalía;González;Femenino;Bizcopizza
2020-05-30;2020;Bello;Jaime;Díez;Masculino;Premium
2020-05-30;2020;Caldas;Hortensia;Llabrés;Femenino;Completo
2020-05-30;2020;Itagui;Florencia;Coello;Femenino;Sánduche
2020-05-30;2020;Itagui;Danilo;Fuertes;Masculino;Bizcopizza
2020-05-30;2020;Medellin;Dominga;Gual;Femenino;Completo
2020-05-30;2020;Copacabana;Fulgencio;Roldan;Masculino;Fuerte
2020-05-30;2020;Envigado;Miriam;Peralta;Femenino;Premium
2020-05-30;2020;Copacabana;Almudena;Adadia;Femenino;Sánduche
2020-05-30;2020;Envigado;Héctor;Rey;Masculino;Waffle
2020-05-30;2020;Envigado;Adelaida;Elías;Femenino;Premium
2020-05-30;2020;Sabaneta;Aránzazu;Iglesias;Femenino;Variado
2020-05-30;2020;Medellin;Sonia;Cabanillas;Femenino;Variado
2020-05-30;2020;Medellin;Sigfrido;Recio;Masculino;Bizcopizza
2020-05-30;2020;Medellin;Adelina;Camps;Femenino;Super Box
2020-05-30;2020;Medellin;Gloria;Calatayud;Femenino;Waffle
2020-05-30;2020;San Antonio de Prado;José Mari;Ribas;Masculino;Virtuosa
2020-05-30;2020;Medellin;Pastora;Nuñez;Femenino;V gomas
2020-05-30;2020;Medellin;Natividad;Cerdá;Femenino;Sánduche
2020-05-30;2020;Sabaneta;Balduino;Almazán;Masculino;Sánduche
2020-05-30;2020;Medellin;Ruth;Arnaiz;Femenino;Sánduche
2020-05-30;2020;Bello;Socorro;Pallarès;Femenino;Variado
2020-05-30;2020;Medellin;Trinidad;Cabezas;Femenino;Premium
2020-05-30;2020;Medellin;Felicidad;Zabaleta;Femenino;Variado
2020-05-30;2020;Medellin;Oriana;Vendrell;Femenino;Completo
2020-05-30;2020;Itagui;Renata;Mercader;Femenino;Kit de emergencia
2020-05-30;2020;Bello;Ruy;Mayo;Masculino;Sánduche
2020-05-30;2020;Medellin;Chelo;Coll;Femenino;Fuerte
2020-05-30;2020;San Antonio de Prado;Francisco;Baena;Masculino;Variado
2020-05-30;2020;Envigado;Flora;Mármol;Femenino;Completo
2020-05-30;2020;Sabaneta;Evelia;Vilanova;Femenino;Premium
2020-05-30;2020;Itagui;Consuelo;Flores;Femenino;Choco box
2020-05-30;2020;San Antonio de Prado;Duilio;Fortuny;Masculino;Sánduche
2020-05-30;2020;Medellin;Jenaro;Bou;Masculino;Sánduche
2020-05-30;2020;Bello;Arturo;Tejedor;Masculino;V fresas
2020-05-30;2020;San Antonio de Prado;Nicanor;Salvador;Masculino;Bizcopizza
2020-05-30;2020;Envigado;Jose Francisco;Hernando;Masculino;Cupcakes
2020-05-30;2020;Medellin;Ani;Acosta;Femenino;Virtuosa
2020-05-30;2020;Medellin;Malena;Girona;Femenino;Completo
2020-05-30;2020;Itagui;Maura;Hurtado;Femenino;Variado
2020-05-30;2020;Medellin;Encarnacion;Olmo;Femenino;Sánduche
2020-05-30;2020;Medellin;Dulce;Arellano;Femenino;Fuerte
2020-05-30;2020;Sabaneta;Alicia;Montserrat;Femenino;Premium
2020-05-30;2020;La Estrella;Gastón;Tovar;Masculino;Variado
2020-05-30;2020;Medellin;Bernabé;Barba;Masculino;Sánduche
2020-05-30;2020;Sabaneta;Viviana;Pedrosa;Femenino;Virtuosa
2020-05-30;2020;San Antonio de Prado;Félix;Viña;Masculino;Premium
2020-05-30;2020;Sabaneta;Jose Angel;Ramirez;Masculino;Sánduche
2020-05-30;2020;Envigado;María Manuela;Córdoba;Femenino;Completo
2020-05-30;2020;Medellin;Asunción;Piñol;Femenino;Fuerte
2020-05-30;2020;Itagui;Amada;Tapia;Femenino;Sánduche
2020-05-30;2020;Bello;Blanca;Santamaria;Femenino;Bandeja frutas
2020-05-30;2020;Itagui;Angelina;Gordillo;Femenino;Bizcopizza
2020-05-30;2020;Medellin;Agustina;Puga;Femenino;Fuerte
2020-05-30;2020;Medellin;Herminia;Macias;Femenino;Completo
2020-05-30;2020;Bello;Reinaldo;Salom;Masculino;Variado
2020-05-30;2020;Copacabana;Belén;Castañeda;Femenino;Virtuosa
2020-05-30;2020;Caldas;Leocadio;Castro;Masculino;Sánduche
2020-05-30;2020;Sabaneta;Joaquín;Cazorla;Masculino;Bizcopizza
2020-05-30;2020;Itagui;Reyes;Benito;Masculino;Sánduche
2020-06-29;2020;Medellin;Marisol;Querol;Femenino;Variado
2020-06-29;2020;Caldas;Nilda;Córdoba;Femenino;Super Box
2020-06-29;2020;Sabaneta;Alejandra;Julián;Femenino;Tradicional
2020-06-29;2020;Copacabana;Benigna;Baena;Femenino;Completo
2020-06-29;2020;Bello;Soledad;Bartolomé;Femenino;Waffle
2020-06-29;2020;Envigado;Sol;Acosta;Femenino;Waffle
2020-06-29;2020;Medellin;Ariadna;Ruiz;Femenino;Completo
2020-06-29;2020;Caldas;Baltasar;Ayllón;Masculino;Super Box
2020-06-29;2020;San Antonio de Prado;Xiomara;Salmerón;Femenino;Premium
2020-06-29;2020;Caldas;Alejandra;Arco;Femenino;Variado
2020-06-29;2020;Sabaneta;Manolo;Torre;Masculino;Completo
2020-06-29;2020;La Estrella;Emelina;Arias;Femenino;Variado
2020-06-29;2020;Copacabana;Rosalinda;Beltran;Femenino;Variado
2020-06-29;2020;La Estrella;Elena;Nevado;Femenino;Variado
2020-06-29;2020;Sabaneta;Sofía;Jódar;Femenino;Waffle
2020-06-29;2020;San Antonio de Prado;Noa;Feliu;Femenino;Virtuosa
2020-06-29;2020;Itagui;Carla;Carranza;Femenino;Fuerte
2020-06-29;2020;San Antonio de Prado;María Pilar;Roura;Femenino;Premium
2020-06-29;2020;Medellin;Che;Agustín;Masculino;Bizcopizza
2020-06-29;2020;Caldas;Noelia;Valentín;Femenino;Sánduche
2020-06-29;2020;Sabaneta;Camila;Pont;Femenino;Completo
2020-06-29;2020;La Estrella;Dani;Manzanares;Masculino;Sánduche
2020-06-29;2020;La Estrella;Mohamed;Cantero;Masculino;Premium
2020-06-29;2020;Bello;Cecilio;Ferrer;Masculino;Mini gomas
2020-06-29;2020;Itagui;Alexandra;Expósito;Femenino;Liviano
2020-06-29;2020;Medellin;Sebastián;Sola;Masculino;Virtuosa
2020-06-29;2020;Sabaneta;Angélica;Cabo;Femenino;Completo
2020-06-29;2020;Itagui;Roxana;Rodríguez;Femenino;Premium
2020-06-29;2020;Envigado;Salomón;Benitez;Masculino;Liviano
2020-06-29;2020;Itagui;Alexandra;Mate;Femenino;Virtuosa
2020-06-29;2020;La Estrella;Lidia;Carmona;Femenino;Sánduche
2020-06-29;2020;Medellin;María Carmen;Gordillo;Femenino;Bizcopizza
2020-06-29;2020;Bello;Rosalinda;Tudela;Femenino;Variado
2020-06-29;2020;Bello;Camilo;Arco;Masculino;Sánduche
2020-06-29;2020;Medellin;Dimas;Puerta;Masculino;Fuerte
2020-06-29;2020;Medellin;Sofía;Baena;Femenino;Waffle
2020-06-29;2020;Copacabana;Prudencia;Sandoval;Femenino;Choco box
2020-06-29;2020;Bello;Olimpia;Bru;Femenino;Bizcopizza
2020-06-29;2020;Bello;Noa;Amat;Femenino;Waffle
2020-06-29;2020;Medellin;Ileana;Juan;Femenino;Completo
2020-06-29;2020;San Antonio de Prado;Rosalía;Cabello;Femenino;Virtuosa
2020-06-29;2020;Sabaneta;Leonel;Tejera;Masculino;Variado
2020-06-29;2020;Bello;Borja;Velasco;Masculino;Sánduche
2020-06-29;2020;La Estrella;Anselmo;Tudela;Masculino;Waffle
2020-06-29;2020;Medellin;Leonor;Gonzalez;Femenino;Variado
2020-06-29;2020;Copacabana;Marcio;Arrieta;Masculino;Premium
2020-06-29;2020;Envigado;Florina;Muñoz;Femenino;Sánduche
2020-06-29;2020;Caldas;Juliana;Guzmán;Femenino;Waffle
2020-06-29;2020;La Estrella;Apolinar;Alsina;Masculino;Waffle
2020-06-29;2020;Envigado;Andrés Felipe;Báez;Masculino;Tradicional
2020-06-29;2020;San Antonio de Prado;Luisa;Aznar;Femenino;V gomas
2020-06-29;2020;Caldas;Abilio;Fiol;Masculino;Variado
2020-06-29;2020;Medellin;Anna;Pina;Femenino;Sánduche
2020-06-29;2020;La Estrella;Ainara;Roca;Femenino;Variado
2020-06-29;2020;Bello;Marc;Escobar;Masculino;Sánduche
